message,type,overperforming,url,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,word_count,total_interactions,likes,comments,shares,love,wow,haha,sad,angry,care
"KIPP Indy Public Schools Science teacher, Ronak Shah, emphasizes how important it is to answer his students’ questions truthfully and completely, always. So Ronak knew when his students raised many questions about the cicadas that seemed to be missing from their neighborhood, teaching them about the intersection of systemic racism and environmental inequity in Indianapolis was the rightful answer. In this piece he wrote for Chalkbeat Indiana, Ronak unravels the long history of segregation in Indianapolis and the many lasting effects of this that are still present today. https://in.chalkbeat.org/2021/6/28/22550964/cicadas-environmental-racism-indianapolis-critical-race-theory-crt",Link,-0.81,https://www.facebook.com/276593497919/posts/10159463550572920/,0,5,0,1,1,1,6,1,1,4,102,3,3,0,0,0,0,0,0,0,0
"#BlackHistoryMonth Kimberlé Williams Crenshaw is an American lawyer, civil rights advocate, philosopher, and a leading scholar of critical race theory who developed the theory of intersectionality. She is a full-time professor at the UCLA School of Law and Columbia Law School, where she specializes in race and gender issues. Crenshaw is also the founder of Columbia Law School's Center for Intersectionality and Social Policy Studies (CISPS) and the African American Policy Forum (AAPF), as well as the president of the Berlin-based Center for Intersectional Justice (CIJ). Crenshaw is known for the introduction and development of intersectionality, the theory of how overlapping or intersecting social identities, particularly minority identities, relate to systems and structures of oppression, domination, or discrimination. Her scholarship was also essential in the development of intersectional feminism which examines the overlapping systems of oppression and discrimination to which women are subject due to their ethnicity, sexuality, and economic background. #BlackHistoryMonth #VamosWarriors",Photo,-0.88,https://www.facebook.com/146815178861752/posts/1527934130749843/,6,4,5,6,1,8,11,5,0,18,155,2,2,0,0,0,0,0,0,0,0
"Science teacher at KIPP Indy Public Schools, Ronak Shah, writes about the long-lasting impact of the racial divide between Indianapolis districts, with one of the lasting effects being environmental injustice. When Ronak’s students asked why they haven’t seen or heard the cicadas they heard all about from the news and internet memes, he turned to the historical lines of segregation for answers. Read Ronak Shah’s Chalkbeat Indiana article to learn more about why he feels it’s necessary to answer his students’ questions honestly and teach them about the history of racism that exists in our country. https://in.chalkbeat.org/2021/6/28/22550964/cicadas-environmental-racism-indianapolis-critical-race-theory-crt",Link,-0.88,https://www.facebook.com/276593497919/posts/10159451550727920/,1,3,0,1,1,1,4,0,1,3,111,2,1,0,1,0,0,0,0,0,0
"#BlackHistoryMonth Feature: Kimberlé Crenshaw is a pioneering scholar and writer on civil rights and critical race theory. She is currently a law professor at Columbia University and developed the theory of intersectionality, which explores ""how social and political identities combine to create different modes of discrimination and privilege.""",Photo,-0.89,https://www.facebook.com/313930025732944/posts/1262758054183465/,1,3,1,1,1,1,7,1,0,4,48,2,2,0,0,0,0,0,0,0,0
Reminder 7pm at OC Free Public Library - all are welcome!,Link,-0.94,https://www.facebook.com/265858010167239/posts/4644017275684602/,0,1,0,0,0,0,2,0,0,0,10,1,1,0,0,0,0,0,0,0,0
"Andy Bell-Baltaci, reporter for the Johnson County Journal, posted this story on social emotional learning in Monday's Johnson County Journal. In it he interviews diversity, equity and inclusion coordinator Ruby Butler, and behavioral health director Connie Poston. http://www.dailyjournal.net/2021/09/27/heres_what_social_emotional_learning_is_and_why_schools_have_practiced_it_for_years/:=:https://dailyjournal.net/2021/09/27/heres_what_social_emotional_learning_is_and_why_schools_have_practiced_it_for_years/",Link,-1.04,https://www.facebook.com/251371488389157/posts/1709843122541979/,0,0,0,0,0,0,5,0,0,6,50,25,9,1,9,6,0,0,0,0,0
"Dr. Shayla Griffin, WISD's Equity and Social Justice Consultant, on Critical Race Theory and why white students must be included in our equity efforts.",Link,-1.09,https://www.facebook.com/125805980893344/posts/2085372198270036/,0,2,0,0,1,0,5,0,0,3,24,22,19,0,3,0,0,0,0,0,0
"More than 70 parents and community members joined Klamath County School District Superintendent Glen Szymoniak tonight (Sept. 2) on the lawn of Mazama High School for a discussion about schools and state mandates. The forum was followed by a question and answer session. As the event began, football players gathered on nearby Viking Field, warming up for an evening game. Klamath County Sheriff Chris Kaber was among the first to address the crowd, explaining he supported their right to peaceably protest but asking that those who wish to do so not disrupt the first day of school for students. Some parents wanted the school district to defy the state mask mandate, risking educators’ certifications as well as fines and loss of liability insurance. But others said it was an unacceptable risk to ask of teachers and administrators. (The state is requiring the wearing of masks inside all K-12 school buildings.) Janah Moorer, who will be a senior at Mazama when school starts next week, told the crowd she is ready to be back in the classroom fulltime after a year of distance learning and hybrid schedules. “I’m not a fan of masks, but I’m willing to make that sacrifice,” she said. For nearly 40 minutes, community members had the floor, asking questions about state mandates and how school will look for students this fall. Superintendent Glen Szymoniak then answered as many questions as time allowed. He also explained how the district will continue to advocate for local control, which would allow leaders to work with Klamath County Public Health to determine how best to handle COVID-19. Questions ranged from staffing, mask mandates and vaccination requirements for school staff to critical race theory (CRT is not part of the district’s curriculum). The school district is compiling the questions and answers and will post them on our website at www.kcsd.k12.or.us.:=:https://www.kcsd.k12.or.us/ As the meeting ended, the football game started and fans could be heard cheering. Szymoniak thanked parents and community members for taking the time to attend the town hall before joining Mazama Principal Jennifer Hawkins and heading to Viking Field to watch the students play. “We all care about our children and want our schools open,” he said. “I will always be accountable to you and listen to you. Now whether I can do everything you want? I can’t make that promise, but I can promise you that I’m going to provide you with a respectful environment so you can get your questions answered.”",Photo,-1.1,https://www.facebook.com/1406688319550986/posts/3123794961173638/,2,10,0,4,5,5,19,4,1,22,418,77,58,8,9,0,0,1,0,0,1
Some questions have been brought to school administration regarding Critical Race Theory (CRT). Caledonia Area Public Schools does not teach Critical Race Theory to our students as CRT does not appear anywhere in the Minnesota State Standards.,Status,-1.18,https://www.facebook.com/831440620208616/posts/4566237923395515/,0,3,0,0,1,0,2,0,1,4,37,28,27,1,0,0,0,0,0,0,0
"School Board Member Mrs. Jan Hayes (pictured in the center) represented District 1 at the 2020-2021 Equity Committee Meeting held in Montgomery at Alabama Association of School Boards. The purpose of the meeting was to discuss how the various school boards address equity issues and the challenges they face in order to provide equity to our students. Topics of discussion included how AASB could better get school boards involved in equity training and Critical Race Theory. Mrs. Hayes commented, ""It was a very interesting meeting and I’d love to see our board take advantage of this new training when it is available in the near future.""",Photo,-1.32,https://www.facebook.com/1574680076145381/posts/3149386792008027/,0,3,0,0,1,0,12,0,0,9,107,19,12,4,1,1,1,0,0,0,0
Statement in response to Social Justice / Critical Race Theory,Link,-1.5,https://www.facebook.com/404159373073365/posts/1875528412603113/,0,1,0,0,0,0,2,0,0,3,9,22,13,0,5,4,0,0,0,0,0
https://silverfallsschools.org/2021/06/08/combating-rumors-regarding-shs-graduation-critical-race-theory/,Link,-1.62,https://www.facebook.com/472913552811600/posts/3317819714987622/,0,2,0,1,1,0,1,0,1,2,13,16,11,1,3,0,0,0,0,0,1
"""We’ve provided context for the legislature throughout the spring, relaying the injustice, short-sightedness and unworthy attempt to squash diverse and inclusive conversation and learning."" -KCPS, now and always",Link,-1.63,https://www.facebook.com/137720132910139/posts/4688327021182738/,1,1,1,0,0,3,3,0,0,1,29,38,18,0,10,9,0,0,0,0,1
"Dear Oakland Unified Community, I write to you with a full heart today. Something has happened that was long overdue in our nation, and I want to celebrate it with the entire district. Congress passed and then President Joe Biden signed into law a federal holiday on June 19th, or Juneteenth, commemorating the end of enslavement in the United States. June 19, 1865 is the day that “Union Major General Gordon Granger announced the end of slavery in Galveston, Texas, in accordance with President Abraham Lincoln's 1863 Emancipation Proclamation,” according to CNN. Texas became the final state to end enslavement. Juneteenth is a day that Black people have long celebrated, but that many other Americans know little to nothing about. But as it’s now recognized as a federal holiday, that will change, and I look forward to adding more information about the holiday and its history to our curriculum. To keep things real here, we as a nation simply have not properly confronted our past crimes against humanity that took place during a 250 year period in the form of human bondage, abuse, and murder. It’s long past time that our country honors the lives lost to enslavement and all the people who survived it to see their emancipation, and celebrates the triumph over this evil system that built so much of our country and its wealth through the enslavement of millions of Black lives. Of course, this move by Congress and President Biden comes amid a national reckoning with issues of race, and a terrible spike in racist behavior. It also comes as some people across the country fight against efforts to teach “critical race theory,” which gives a direct and honest accounting of the history of race and racism in our society. Martin Luther King, Jr. reminded us that “the arc of the moral universe is long, but it bends toward justice.” This is one more important curve toward justice for everyone, but we still have a long way to go. Now, as the signing of the bill by the president comes just two days before the holiday it proclaims, we, the District, are unable to facilitate the holiday for our staff this year. So, Friday, June 18 is a normal work and summer learning day in OUSD. Even though tomorrow is still a work and school day in OUSD, I want to wish everyone in our community a wonderful, thoughtful, and reflective Juneteenth on Saturday as we work toward a more just society for all. In community, Dr. Kyla Johnson-Trammell Superintendent",Photo,-1.65,https://www.facebook.com/122688404444202/posts/4095438330502503/,8,18,8,10,14,16,37,12,4,25,425,26,16,3,4,3,0,0,0,0,0
"Kimberly Young, a CCUSD teacher who serves on the state’s Quality Instruction Commission, said in a forum Wednesday ethnic studies classes help students think critically.",Link,-1.71,https://www.facebook.com/1170849302949218/posts/4519650414735740/,0,1,0,0,1,0,3,0,1,3,25,17,15,0,1,1,0,0,0,0,0
"Audre Lorde, a self-described “black, lesbian, feminist, mother, poet, warrior,"" made lasting contributions in the fields of feminist theory, critical race studies and queer theory through her pedagogy and writing. Born in New York City to Caribbean immigrants, Lorde was the first black student at Hunter High School, a public school for gifted girls. She earned degrees at Hunter College and Columbia University and worked as a librarian in New York public schools throughout the 1960s. “I write for those women who do not speak, for those who do not have a voice because they were so terrified, because we are taught to respect fear more than ourselves. We’ve been taught that silence would save us, but it won’t.” Lorde was also a professor of English at John Jay College and Hunter College, where she held the prestigious post of Thomas Hunter Chair of Literature. In 1980, Lorde, along with fellow writer Barbara Smith, founded Kitchen Table: Women of Color Press, which published work by and about women of color, including Lorde’s book “I Am Your Sister: Black Women Organizing Across Sexualities” (1986). Some of Lorde’s most notable works written during this time were “Coal” (1976), “The Black Unicorn” (1978), “The Cancer Journals” (1980) and “Zami: A New Spelling of My Name” (1982)",Photo,-1.71,https://www.facebook.com/118521981540601/posts/3279024258823675/,3,12,3,7,4,13,14,11,0,13,214,14,8,1,3,2,0,0,0,0,0
"Join Us for Community Forums on Curriculum Updates Assistant Superintendent for Instruction Melanie Ward will be sharing the NYSED Culturally Responsive-Sustaining Framework and recent updates to Pittsford’s K-12 English/language arts and social studies curriculum at the following events: Elementary Curriculum Review for Grades K-5 Tuesday, August 24, 6:30-7:30pm at Calkins Road Middle School, commons Secondary Curriculum Review for Grades 6-12 Thursday, August 26, 6:30-7:30pm at Calkins Road Middle School, commons Culturally Responsive-Sustaining Education is not the same as Critical Race Theory Culturally Responsive-Sustaining Education is a research-based, NYSED required approach to how we interact in the classroom, in an attempt to connect with each student and help create an environment where everyone reaches their full potential. Critical Race Theory is a term that is being used a lot recently, but is not being taught in our schools. Critical Race Theory is about challenging historical approaches to the teaching of topics connected to race. It is a social and legal construct, typically discussed in university settings. Join us to learn more about the NYSED framework and PCSD curriculum updates by registering here: https://www.pittsfordschools.org/Page/25783. ASL interpretation services will be provided during the events. The forums will be recorded and posted on the PCSD YouTube page.",Status,-1.71,https://www.facebook.com/185850194793977/posts/4216383891740567/,0,8,0,0,1,0,15,0,0,13,220,14,7,0,6,1,0,0,0,0,0
"In this edition of our series, The ""Why"" in Equity, Dr. Thornton discusses ways in which equity is being implemented in K-12 curriculum. In doing so, he addresses some of the communities concerns by ensuring that Critical Race Theory and the 1619 Project are not being implemented into the K-12 curriculum.",Native Video,-1.77,https://www.facebook.com/120373721313254/posts/4744237268926853/,0,3,0,0,0,0,3,0,0,2,53,40,14,16,3,2,0,3,0,1,1
"Tonight's Parent Academy opens the conversation about experiences of diverse groups. Join us at 6 p.m. on the Rock Hill Schools YouTube channel, www.youtube.com/rockhillschools.:=:http://www.youtube.com/rockhillschools. Winthrop University professor Dr. Monique Constance-Huggins will lead the conversation. Dr. Constance-Huggins is an Associate Professor and Undergraduate Program Director in the Department of Social Work at Winthrop University. She received her PhD, MSW, and MPIA from the University of Pittsburgh. She is a critical race social work scholar, who has devoted her academic life researching racial disparities, oppression, and racial ideologies. Her other areas of research include social capital among women, poverty and community needs assessment. Dr. Constance-Huggins has also spent many years providing cultural competence training to organizations. She also provides policy analysis to developing island state. Dr. Huggins’ work brings together empirical studies, theory, and social policy to improve individuals, organizations, and communities. Dr. Constance-Huggins teaches courses in research methods, social welfare policy, community practice, and working with multicultural populations.",Photo,-1.85,https://www.facebook.com/132069386853206/posts/3782377098489065/,2,6,2,2,2,4,23,2,1,13,165,27,11,1,5,10,0,0,0,0,0
"On this day in 1866, African Americans celebrated the first anniversary of their freedom from slavery. Today, 155 years later, we celebrate Juneteenth as a federal holiday for the first time in history. Though we’ve come a long way, we still have much further to go. Presently, lawmakers across the nation are pushing to ban the teaching of critical race theory in schools. What, we ask, is the point of acknowledging Juneteenth if we cannot teach the history behind it? As educators, our fight for equity starts in the classroom. Today and every day, we commit to educating our students on the true history of this nation, and teaching all of our Rocketeers to be anti-racist.",Photo,-2,https://www.facebook.com/143358642391657/posts/4200880303306117/,2,5,1,2,5,3,6,1,1,6,117,13,7,0,0,6,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! Listen now: http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",Native Video,-2,https://www.facebook.com/1504281553188691/posts/3030927813857383/,0,2,0,0,0,0,3,0,0,1,46,0,0,0,0,0,0,0,0,0,0
"With all the national debate about teaching critical race theory in public schools, we are sticking to our mission-specific outcomes-engendering pride in our indigenous cultures. 2021-2022 school year will be our 30th year teaching our children ALL of world and US history. Our graduates speak for themselves. It works. #QEA30yrsStrong",Native Video,-2,https://www.facebook.com/202012446626026/posts/1788128624681059/,0,2,0,0,1,0,3,0,0,2,53,10,3,1,4,2,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",Native Video,-2,https://www.facebook.com/613700125351937/posts/4320116921376887/,0,2,0,0,0,0,3,0,0,1,44,0,0,0,0,0,0,0,0,0,0
Please visit https://www.njsba.org/news-publications/school-board-notes/july-27-2021-vol-xlv-no-2/what-you-need-to-know-about-educational-equity-and-critical-race-theory/ for information on Educational Equity and Critical Race Theory.,Link,-2.18,https://www.facebook.com/180358508765847/posts/2361844203950589/,0,3,0,0,0,0,6,0,0,5,37,11,6,0,3,0,2,0,0,0,0
#EWSD Director of Equity & Inclusion and Co-Director of Student Support Services Erin Maguire was recently featured on Vermont Edition as part of a conversation around Critical Race Theory: What It Is & What It Isn't. Listen here: https://bit.ly/3zFHsdl:=:https://www.vpr.org/show/vermont-edition/2021-09-22/critical-race-theory-what-it-is-what-it-isnt #4ward2gether,Photo,-2.55,https://www.facebook.com/1799459440323837/posts/3021115828158186/,0,4,0,0,0,0,3,0,0,6,58,11,9,0,1,1,0,0,0,0,0
"We know it's Fall Break, but hope you saw this story from The Star Press regarding a couple of K-12 education topics people are very interested in these days. This should answer many questions you might have about SEL and CRT and how MCS approaches both.",Link,-2.62,https://www.facebook.com/265398816983536/posts/1759789410877795/,0,2,1,0,2,1,3,2,2,2,47,13,11,0,1,1,0,0,0,0,0
NA,Link,-2.7,https://www.facebook.com/137720132910139/posts/4690600610955379/,0,0,0,0,0,0,0,0,0,0,1,23,1,1,10,0,0,0,1,10,0
"During this American Education Week, schools are facing so many challenges. How can we support them? Here are a few suggestions: Celebrate students by attending a play, concert, sporting event, or student activity. Mentor a student or share your career path, professional expertise, or cultural traditions with a class. Volunteer with a local organization supporting children and youth at www.unitedwaydgco.org.:=:https://www.unitedwaydgco.org/ Reinforce at home with your children positive behavior expectations, including safety, health and wellness, self-regulation, respect, responsibility, kindness, cooperation, empathy. Participate in a parent organization, booster club, or school advisory committee. Donate classroom supplies, warm clothing, socks and underwear, and hygiene items to schools. Refer a friend or consider substitute teaching, driving a bus, or applying for a job in our schools at mhedteach.com, workatfirst.com, and www.usd497.org/Apply.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Apply. Stay informed by reading teacher communications and school newsletters, following our official accounts on social media, or watching a school board meeting. Critically evaluate information about schools and seek the facts. (No, we don’t teach Critical Race Theory. Yes, culturally relevant teaching is a best practice.) Advocate for your school - The legislative session starts in January! (See www.usd497.org/Educate:=:https://www.usd497.org/Educate Lawrence.) T.H.I.N.K. before you post or share information about schools: Is it True? Helpful? Inspiring? Necessary? Kind? Send thank-you notes to bus drivers, teachers, paras, secretaries, food service and custodial personnel, nurses, technology staff, librarians, administrators, school board members, and other professionals supporting students. Nominate school staff for recognition at www.usd497.org/Recognition.:=:https://www.usd497.org/errors/404.aspx?aspxerrorpath=/Recognition. Support the Lawrence Schools Foundation at www.lawrenceschoolsfoundation.org.:=:https://lawrenceschoolsfoundation.org/ Contact your child’s school for more ideas!",Photo,-3,https://www.facebook.com/207952675960124/posts/4539114369510578/,1,12,0,2,13,0,37,0,4,33,282,12,9,0,3,0,0,0,0,0,0
"[ NOW LIVE // School Board Meeting ] It has come to our attention that misinformation regarding tonight's Board meeting has been circulating throughout our community. We firmly believe that this is a time for unity and collaboration, thus we find it prudent to clarify the following; 📍The board meeting will take place per usual at the School Board Room (940 E. Yonezawa Blvd) at 7 pm tonight, Thursday, July 8th ❌ The Board of Directors will NOT vote on the teaching of Critical Race Theory (CRT) nor on levy funding, however; ✅ The Board of Directors WILL address the Moses Lake School District's equity statement, which is available to review along (with the complete agenda for tonight's meeting) at http://go.boarddocs.com/wa/moseslake/Board.nsf/goto?open&id=C4FNTQ60E689:=:https://go.boarddocs.com/wa/moseslake/Board.nsf/goto?open&id=C4FNTQ60E689 ▶️ Watch the meeting via live stream: mlsd161.org/livestream/:=:https://www.mlsd161.org/apps/pages/sb-livestream ✍️ Submit public comment: bit.ly/MLSDcomment:=:https://docs.google.com/forms/d/e/1FAIpQLSeIPnx7hi1V8EGmfTN3bZGqLwFrayqOlkORj_g0izuiJxhmjg/viewform (Rewatch available Friday AM: https://www.mlsd161.org/apps/pages/sb-meetingarchive)",Photo,-3.3,https://www.facebook.com/243902352402260/posts/3881243465334779/,1,12,0,1,1,2,10,1,1,9,172,20,6,6,8,0,0,0,0,0,0
NA,Live Video Scheduled,-3.82,https://www.facebook.com/1643670092589190/posts/467182961017786/,0,0,0,0,0,0,0,0,0,0,1,11,7,4,0,0,0,0,0,0,0
Ram Nation! Always be informed. #RamPride,Photo,-4,https://www.facebook.com/1351018414911854/posts/4514079098605754/,1,1,0,0,0,1,0,0,0,1,6,6,4,0,1,0,0,0,1,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more!",Native Video,-4,https://www.facebook.com/330661150337618/posts/6187304994673175/,0,2,0,0,0,0,2,0,0,1,30,0,0,0,0,0,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! Listen now: http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",Native Video,-4,https://www.facebook.com/330661150337618/posts/6225156277554713/,0,2,0,0,0,0,3,0,0,1,46,0,0,0,0,0,0,0,0,0,0
"EO Alive Talked with LGSD's Superintendent George Mendoza and Scott Carpenter this morning 8/13/21. Hot topics discussed were: wearing masks in schools, critical race theory, and essential skills requirements. https://www.facebook.com/EOAliveTV/videos/426189615365140/",Live Video Complete,-4.17,https://www.facebook.com/272963731358/posts/10158986166796359/,1,2,0,0,1,0,2,0,0,2,36,6,5,0,1,0,0,0,0,0,0
NA,Link,-4.83,https://www.facebook.com/102747794870292/posts/348887733589629/,0,0,0,0,0,0,0,0,0,0,1,6,4,0,1,1,0,0,0,0,0
"Currently, a debate is playing out in communities across the United States regarding Critical Race Theory and public schools. For example, on Tuesday, the Governor of Texas signed a bill into law that does not name Critical Race Theory specifically, but instead, bans teachers from teaching topics and ideas closely associated with Critical Race Theory. Some of the topics and ideas at issue include diversity and inclusion, anti-racism training, inherent racism, equity, social justice, multiculturalism, and the 1619 Project. Click to read the complete letter and FAQs: http://bitly.ws/ejzw:=:https://nj02210894.schoolwires.net/cms/lib/NJ02210894/Centricity/domain/8/file/announcements/Letter%20from%20the%20Superintendent%206%2017%2021.docx.pdf",Photo,-5,https://www.facebook.com/370428359664173/posts/5732892710084351/,0,6,0,0,0,0,6,0,0,8,110,4,2,2,0,0,0,0,0,0,0
Be sure to join us tonight! Questions are being collected beforehand here: http://ow.ly/M3c950GiFPa:=:https://docs.google.com/forms/d/1GVk6E-hiPXXruQ2KamuG8_iCgQMR-9L-if5CPSaRyH8/viewform?ts=61422720&edit_requested=true Can't be there in person? Tune in at youtube.com/AnkenySchools:=:https://www.youtube.com/c/AnkenySchoolsACSD for the live broadcast.,Link,-5.45,https://www.facebook.com/1643670092589190/posts/3056147138008138/,0,0,0,0,1,0,2,0,0,1,46,11,10,0,0,1,0,0,0,0,0
"Tune in Tuesday evening...Dr. Celico is a panelist! EVENT INFORMATION LWVO Protect Honesty In Education: Addressing Censorship and Misinformation in Ohio August 17, 7-8:30pm Register: bit.ly/LWVOProtectHonestyInEducation:=:https://lwvohio.salsalabs.org/protectinghonestyineducation/index.html?eType=EmailBlastContent&eId=ceb04c2d-0494-4537-81a0-bd0a2be87305 FB: https://fb.me/e/IEKYa3qx:=:https://www.facebook.com/events/1146632522492738/ Moderator: Karen Leith, LWVO Advocacy Chair Featuring: Dr. Vince Jungkunz, Associate Professor, Critical Race Theory, Center for Law, Justice & Culture Political Science, Ohio University Meryl Johnson, Board Member, District 11, State Board of Education Dr. Andrea Celico, Superintendent, Bedford City School District Kaia Woodford, President & Co-Founder, Bexley Anti-Racism Project",Link,-5.8,https://www.facebook.com/153209414692483/posts/5028144583865584/,1,5,0,0,1,0,13,0,0,11,102,5,5,0,0,0,0,0,0,0,0
"Board of Education Regular Meeting Thursday, July, 8 Meeting begins at 6:30 p.m. TOPICS: Improvement to Special Education, Resolution Against, Critical Race Theory, District Boundaries, and many more. More information, agenda and livestream at www.d49.org/BOE:=:https://www.d49.org:443/BOE",Link,-6,https://www.facebook.com/141517542533343/posts/4329740940377628/,0,2,0,0,2,0,3,0,0,2,43,7,5,2,0,0,0,0,0,0,0
"Today’s podcast continues in a couple of our growth topics. The first one is a reminder that May is Mental Health Month so will be sharing five steps to mental well-being. We will also explore an article on racism‘s impact on mental health and joining us for that will be our friend Professor Freedom, Clarence Glover. He will also share how addressing systemic white racism is important if we’re going to work together to end racism. Right along with that topic is the current legislation pending or passed in many states on critical race theory. We’ll talk about what it is and why it’s so controversial. Finally, we will see who was selected to be our new US Department of Education Deputy Secretary and the news on what ages can now get vaccinated. Only on the ask Dr. B. Good Show! Stay tuned! https://www.facebook.com/JPKNETWORK/videos/760947637900601/",Live Video Complete,-6.4,https://www.facebook.com/269239266507720/posts/3799748630123415/,1,6,1,0,6,1,10,0,2,11,149,5,5,0,0,0,0,0,0,0,0
"In this episode of K12 On Learning, we welcome back Hannah Elliott from Stride Career Prep to answer questions about teachers, their training and availability, Critical Race Theory, and more! Listen now: http://ow.ly/zE5550G9ghd:=:https://app.resonaterecordings.com/hosting/k12-on-learning/63564a2b-e960-499e-bc34-5b85ebb64ccc",Native Video,-8,https://www.facebook.com/1424378747816742/posts/2995379340716667/,0,2,0,0,0,0,3,0,0,1,46,0,0,0,0,0,0,0,0,0,0
Superintendent Hinojosa is joining a virtual news conference focusing on the Critical Race Theory Bill. He joins other area superintendents to share concerns about the bill and how it would negatively impact school districts. Watch ⬇,Live Video Complete,-9.6,https://www.facebook.com/125468464136753/posts/4701393813210839/,0,3,0,1,1,0,1,0,0,3,35,5,3,0,2,0,0,0,0,0,0
"Today we honor Kimberlé Williams Crenshaw, a pioneering scholar and writer on civil rights, critical race theory, Black feminist legal theory, and race, racism and the law.",Native Video,-20,https://www.facebook.com/329720390392905/posts/4040285652669675/,0,2,0,0,0,1,5,1,0,5,27,0,0,0,0,0,0,0,0,0,0
"IMPORTANT UPDATE FROM THE MISSOURI SCHOOL BOARDS ASSOCIATION: Critical Race Theory and Educational Equity: What You Need to Know Questions about Critical Race Theory and its use in public schools are becoming commonplace in our communities. Two common questions being asked are 1) What is Critical Race Theory? and 2) Is it being taught in our schools? What Is Critical Race Theory? Critical Race Theory (CRT) is a phrase that is frequently mentioned in the media and in public conversations. CRT might have a certain meaning to one person while someone else might believe it is something entirely different. But the most basic purpose of Critical Race Theory, which originated in the 1970s, was as an analytical tool for law students to examine the impact of historical and present-day racism on the legal system and public policies. Currently, CRT is primarily used by higher education in the study of law, psychology, and sociology. Is Critical Race Theory in the Missouri Learning Standards? The tenets of CRT are not part of social studies or any other learning standards in Missouri. The state’s social studies standards can be found on the Department of Elementary and Secondary Education’s website (Missouri Social Studies Learning Standards). It’s important to remember that all Missouri Learning Standards are approved by the State Board of Education and developed by Missouri educators, parents, and other community stakeholders selected by the President Pro Tem of the Senate, the Speaker of the House, the Governor, the Lieutenant Governor, the State Board of Education, the Commissioner of DESE, the Commissioner of Higher Education and various education associations. (Section 160.514, RSMo.) Is Critical Race Theory the Same as Educational Equity? No. Various media channels and members of the public sometimes use terms interchangeably when they mean two different things. The terms Critical Race Theory and educational equity are not the same. Unlike CRT, which, again, is a tool primarily used in institutions of higher education, educational equity is a K-12 term referring to federal and state policies and requirements. Specifically, the term is closely associated with “No Child Left Behind” (NCLB) legislation that was led by former President George W. Bush and signed into law in 2002. This federal law established clear requirements for school districts to not only disaggregate student achievement data by race but also to close achievements gaps where they exist. In recent years, the terms equity work or diversity, equity, and inclusion (DEI) has become commonplace in K-12 education as many districts revisit and renew their local efforts to close achievement gaps as required by the federal Every Student Succeeds Act (ESSA). When signed into law in 2015, ESSA further advanced equity in U.S. education policy by upholding protections outlined in NCLB, including calling for comprehensive state-developed plans designed to close achievement gaps, improve the quality of instruction, and increase outcomes for all students. The state's accreditation system, MSIP (the Missouri School Improvement Program), includes provisions to address educational equity in Missouri’s schools. These rules were reviewed by Missouri’s Joint Committee on Administrative Rules, which is a 10-member legislative committee made up of six Republicans and four Democrats from the Missouri House and Senate. Further, the Secretary of State received comments from the public on the proposed rules and the State Board of Education considered the comments prior to final approval. Is Critical Race Theory the Same as Diversity, Equity, and Inclusion (DEI)? No. The focus of DEI is to ensure all students have the opportunity to receive a quality education and are provided the resources they need in order to allow for their success. We hope you find this information helpful as questions arise about this topic. www.mosba.org:=:https://www.mosba.org/ | 800.221.6722 | info@mosba.org | 2100 I-70 Drive Southwest Columbia, MO 65203",Link,-24,https://www.facebook.com/358558694684432/posts/1035889740284654/,0,29,0,0,13,0,53,0,2,56,628,0,0,0,0,0,0,0,0,0,0
NA,Link,-26,https://www.facebook.com/188958387795892/posts/6296065673751769/,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Just a reminder to please join us for a community workshop on anti-racism on Wednesday!,Link,-32,https://www.facebook.com/100064010860842/posts/264369859040041/,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,0,0,0,0,0
"Coming up on Nov. 17th is the next Workshop in our Equity Workshop series, Let's Talk About Anti-Racism. https://www.bsdvt.org/2020/12/08/bsd-equity-office-announces-equity-webinar-series/",Link,-32,https://www.facebook.com/143649550232/posts/10158185738860233/,0,1,0,0,0,0,4,0,0,2,31,0,0,0,0,0,0,0,0,0,0
